condition,variant,requested_poison_rate,actual_poison_rate,n,asr,correct_answer_rate,retrieval_success_rate,avg_poison_in_topk,avg_poison_topk_share
clean,clean,0.0,0.0,50,0.12,0.6,0.0,0.0,0.0
authority_1.00%,authority,0.01,0.010000000000000004,50,0.68,0.34,1.0,1.0,0.19999999999999993
instruction_aware_1.00%,instruction_aware,0.01,0.010000000000000004,50,0.82,0.28,1.0,1.0,0.19999999999999993
original_1.00%,original,0.01,0.010000000000000004,50,0.7,0.32,1.0,1.0,0.19999999999999993
query_first_instruction_aware_1.00%,query_first_instruction_aware,0.01,0.010000000000000004,50,0.8,0.3,1.0,1.0,0.19999999999999993
authority_3.00%,authority,0.03,0.030000000000000023,50,0.64,0.38,1.0,3.0,0.6000000000000005
instruction_aware_3.00%,instruction_aware,0.03,0.030000000000000023,50,0.8,0.24,1.0,3.0,0.6000000000000005
original_3.00%,original,0.03,0.030000000000000023,50,0.7,0.28,1.0,3.0,0.6000000000000005
query_first_instruction_aware_3.00%,query_first_instruction_aware,0.03,0.030000000000000023,50,0.78,0.26,1.0,3.0,0.6000000000000005
authority_5.00%,authority,0.05,0.04999999999999998,50,1.0,0.06,1.0,4.98,0.996
instruction_aware_5.00%,instruction_aware,0.05,0.04999999999999998,50,1.0,0.0,1.0,4.98,0.996
original_5.00%,original,0.05,0.04999999999999998,50,0.96,0.06,1.0,4.98,0.996
query_first_instruction_aware_5.00%,query_first_instruction_aware,0.05,0.04999999999999998,50,0.96,0.08,1.0,4.98,0.996
authority_10.00%,authority,0.1,0.09999999999999996,50,1.0,0.06,1.0,4.98,0.996
instruction_aware_10.00%,instruction_aware,0.1,0.09999999999999996,50,1.0,0.0,1.0,4.98,0.996
original_10.00%,original,0.1,0.09999999999999996,50,0.96,0.06,1.0,4.98,0.996
query_first_instruction_aware_10.00%,query_first_instruction_aware,0.1,0.09999999999999996,50,0.94,0.06,1.0,4.98,0.996
