condition,variant,requested_poison_rate,actual_poison_rate,n,asr,correct_answer_rate,retrieval_success_rate,avg_poison_in_topk,avg_poison_topk_share
clean,clean,0.0,0.0,50,0.06,0.58,0.0,0.0,0.0
authority_1.00%,authority,0.01,0.010000000000000004,50,0.48,0.48,0.8,0.8,0.16000000000000006
instruction_aware_1.00%,instruction_aware,0.01,0.010000000000000004,50,0.64,0.32,0.82,0.82,0.16400000000000006
original_1.00%,original,0.01,0.010000000000000004,50,0.62,0.4,1.0,1.0,0.19999999999999993
query_first_instruction_aware_1.00%,query_first_instruction_aware,0.01,0.010000000000000004,50,0.66,0.38,0.92,0.92,0.184
authority_3.00%,authority,0.03,0.030000000000000023,50,0.76,0.24,0.84,2.3,0.4600000000000001
instruction_aware_3.00%,instruction_aware,0.03,0.030000000000000023,50,0.82,0.14,0.86,2.32,0.46400000000000013
original_3.00%,original,0.03,0.030000000000000023,50,0.9,0.08,1.0,2.98,0.5960000000000005
query_first_instruction_aware_3.00%,query_first_instruction_aware,0.03,0.030000000000000023,50,0.88,0.1,0.94,2.76,0.5520000000000005
authority_5.00%,authority,0.05,0.04999999999999998,50,0.82,0.18,0.9,3.68,0.7360000000000001
instruction_aware_5.00%,instruction_aware,0.05,0.04999999999999998,50,0.86,0.18,0.88,3.44,0.6880000000000002
original_5.00%,original,0.05,0.04999999999999998,50,1.0,0.04,1.0,4.76,0.9519999999999998
query_first_instruction_aware_5.00%,query_first_instruction_aware,0.05,0.04999999999999998,50,0.92,0.1,0.96,4.48,0.8959999999999999
authority_10.00%,authority,0.1,0.09999999999999996,50,0.82,0.18,0.9,3.68,0.7360000000000001
instruction_aware_10.00%,instruction_aware,0.1,0.09999999999999996,50,0.86,0.18,0.88,3.44,0.6880000000000002
original_10.00%,original,0.1,0.09999999999999996,50,1.0,0.04,1.0,4.76,0.9519999999999998
query_first_instruction_aware_10.00%,query_first_instruction_aware,0.1,0.09999999999999996,50,0.92,0.1,0.96,4.48,0.8959999999999999
