dataset,model_label,variant,1.0,3.0,5.0,10.0
hotpotqa,llama3.1:8b,authority,0.68,0.64,1.0,1.0
hotpotqa,llama3.1:8b,instruction_aware,0.82,0.8,1.0,1.0
hotpotqa,llama3.1:8b,original,0.7,0.7,0.96,0.96
hotpotqa,llama3.1:8b,query_first_instruction_aware,0.8,0.78,0.96,0.94
hotpotqa,mistral:7b,authority,0.66,0.8,1.0,1.0
hotpotqa,mistral:7b,instruction_aware,0.78,0.88,1.0,1.0
hotpotqa,mistral:7b,original,0.74,0.9,1.0,1.0
hotpotqa,mistral:7b,query_first_instruction_aware,0.78,0.94,1.0,1.0
hotpotqa,qwen3.5:9b,authority,0.72,0.86,1.0,1.0
hotpotqa,qwen3.5:9b,instruction_aware,0.78,0.96,1.0,0.98
hotpotqa,qwen3.5:9b,original,0.7,0.84,1.0,1.0
hotpotqa,qwen3.5:9b,query_first_instruction_aware,0.8,0.9,0.98,0.98
msmarco,llama3.1:8b,authority,0.46,0.68,0.86,0.86
msmarco,llama3.1:8b,instruction_aware,0.56,0.72,0.74,0.74
msmarco,llama3.1:8b,original,0.58,0.82,0.94,0.92
msmarco,llama3.1:8b,query_first_instruction_aware,0.66,0.92,0.94,0.94
msmarco,mistral:7b,authority,0.46,0.74,0.84,0.86
msmarco,mistral:7b,instruction_aware,0.56,0.74,0.8,0.8
msmarco,mistral:7b,original,0.72,1.0,1.0,1.0
msmarco,mistral:7b,query_first_instruction_aware,0.74,0.98,0.96,0.96
msmarco,qwen3.5:9b,authority,0.64,0.76,0.84,0.82
msmarco,qwen3.5:9b,instruction_aware,0.64,0.7,0.78,0.82
msmarco,qwen3.5:9b,original,0.84,0.88,0.9,0.92
msmarco,qwen3.5:9b,query_first_instruction_aware,0.84,0.9,0.94,0.94
nq,llama3.1:8b,authority,0.52,0.68,0.8,0.8
nq,llama3.1:8b,instruction_aware,0.52,0.78,0.82,0.8
nq,llama3.1:8b,original,0.64,0.86,0.94,0.96
nq,llama3.1:8b,query_first_instruction_aware,0.66,0.86,0.94,0.94
nq,mistral:7b,authority,0.48,0.76,0.82,0.82
nq,mistral:7b,instruction_aware,0.64,0.82,0.86,0.86
nq,mistral:7b,original,0.62,0.9,1.0,1.0
nq,mistral:7b,query_first_instruction_aware,0.66,0.88,0.92,0.92
nq,qwen3.5:9b,authority,0.6,0.8,0.88,0.9
nq,qwen3.5:9b,instruction_aware,0.66,0.8,0.88,0.88
nq,qwen3.5:9b,original,0.78,0.94,1.0,1.0
nq,qwen3.5:9b,query_first_instruction_aware,0.76,0.92,0.98,0.98
