dataset,model_label,variant,1.0,3.0,5.0,10.0
hotpotqa,llama3.1:8b,authority,1.0,3.0,4.98,4.98
hotpotqa,llama3.1:8b,instruction_aware,1.0,3.0,4.98,4.98
hotpotqa,llama3.1:8b,original,1.0,3.0,4.98,4.98
hotpotqa,llama3.1:8b,query_first_instruction_aware,1.0,3.0,4.98,4.98
hotpotqa,mistral:7b,authority,1.0,3.0,4.98,4.98
hotpotqa,mistral:7b,instruction_aware,1.0,3.0,4.98,4.98
hotpotqa,mistral:7b,original,1.0,3.0,4.98,4.98
hotpotqa,mistral:7b,query_first_instruction_aware,1.0,3.0,4.98,4.98
hotpotqa,qwen3.5:9b,authority,1.0,3.0,4.98,4.98
hotpotqa,qwen3.5:9b,instruction_aware,1.0,3.0,4.98,4.98
hotpotqa,qwen3.5:9b,original,1.0,3.0,4.98,4.98
hotpotqa,qwen3.5:9b,query_first_instruction_aware,1.0,3.0,4.98,4.98
msmarco,llama3.1:8b,authority,0.76,2.18,3.44,3.44
msmarco,llama3.1:8b,instruction_aware,0.74,2.04,2.92,2.92
msmarco,llama3.1:8b,original,0.98,2.88,4.6,4.6
msmarco,llama3.1:8b,query_first_instruction_aware,0.96,2.78,4.38,4.38
msmarco,mistral:7b,authority,0.76,2.18,3.44,3.44
msmarco,mistral:7b,instruction_aware,0.74,2.04,2.92,2.92
msmarco,mistral:7b,original,0.98,2.88,4.6,4.6
msmarco,mistral:7b,query_first_instruction_aware,0.96,2.78,4.38,4.38
msmarco,qwen3.5:9b,authority,0.76,2.18,3.44,3.44
msmarco,qwen3.5:9b,instruction_aware,0.74,2.04,2.92,2.92
msmarco,qwen3.5:9b,original,0.98,2.88,4.6,4.6
msmarco,qwen3.5:9b,query_first_instruction_aware,0.96,2.78,4.38,4.38
nq,llama3.1:8b,authority,0.8,2.3,3.68,3.68
nq,llama3.1:8b,instruction_aware,0.82,2.32,3.44,3.44
nq,llama3.1:8b,original,1.0,2.98,4.76,4.76
nq,llama3.1:8b,query_first_instruction_aware,0.92,2.76,4.48,4.48
nq,mistral:7b,authority,0.8,2.3,3.68,3.68
nq,mistral:7b,instruction_aware,0.82,2.32,3.44,3.44
nq,mistral:7b,original,1.0,2.98,4.76,4.76
nq,mistral:7b,query_first_instruction_aware,0.92,2.76,4.48,4.48
nq,qwen3.5:9b,authority,0.8,2.3,3.68,3.68
nq,qwen3.5:9b,instruction_aware,0.82,2.32,3.44,3.44
nq,qwen3.5:9b,original,1.0,2.98,4.76,4.76
nq,qwen3.5:9b,query_first_instruction_aware,0.92,2.76,4.48,4.48
