dataset,model_label,variant,1.0,3.0,5.0,10.0
hotpotqa,llama3.1:8b,authority,0.1999999999999999,0.6000000000000005,0.996,0.996
hotpotqa,llama3.1:8b,instruction_aware,0.1999999999999999,0.6000000000000005,0.996,0.996
hotpotqa,llama3.1:8b,original,0.1999999999999999,0.6000000000000005,0.996,0.996
hotpotqa,llama3.1:8b,query_first_instruction_aware,0.1999999999999999,0.6000000000000005,0.996,0.996
hotpotqa,mistral:7b,authority,0.1999999999999999,0.6000000000000005,0.996,0.996
hotpotqa,mistral:7b,instruction_aware,0.1999999999999999,0.6000000000000005,0.996,0.996
hotpotqa,mistral:7b,original,0.1999999999999999,0.6000000000000005,0.996,0.996
hotpotqa,mistral:7b,query_first_instruction_aware,0.1999999999999999,0.6000000000000005,0.996,0.996
hotpotqa,qwen3.5:9b,authority,0.1999999999999999,0.6000000000000005,0.996,0.996
hotpotqa,qwen3.5:9b,instruction_aware,0.1999999999999999,0.6000000000000005,0.996,0.996
hotpotqa,qwen3.5:9b,original,0.1999999999999999,0.6000000000000005,0.996,0.996
hotpotqa,qwen3.5:9b,query_first_instruction_aware,0.1999999999999999,0.6000000000000005,0.996,0.996
msmarco,llama3.1:8b,authority,0.152,0.4360000000000001,0.688,0.688
msmarco,llama3.1:8b,instruction_aware,0.148,0.408,0.5840000000000001,0.5840000000000001
msmarco,llama3.1:8b,original,0.1959999999999999,0.5760000000000004,0.9199999999999998,0.9199999999999998
msmarco,llama3.1:8b,query_first_instruction_aware,0.1919999999999999,0.5560000000000005,0.8760000000000001,0.8760000000000001
msmarco,mistral:7b,authority,0.152,0.4360000000000001,0.688,0.688
msmarco,mistral:7b,instruction_aware,0.148,0.408,0.5840000000000001,0.5840000000000001
msmarco,mistral:7b,original,0.1959999999999999,0.5760000000000004,0.9199999999999998,0.9199999999999998
msmarco,mistral:7b,query_first_instruction_aware,0.1919999999999999,0.5560000000000005,0.8760000000000001,0.8760000000000001
msmarco,qwen3.5:9b,authority,0.152,0.4360000000000001,0.688,0.688
msmarco,qwen3.5:9b,instruction_aware,0.148,0.408,0.5840000000000001,0.5840000000000001
msmarco,qwen3.5:9b,original,0.1959999999999999,0.5760000000000004,0.9199999999999998,0.9199999999999998
msmarco,qwen3.5:9b,query_first_instruction_aware,0.1919999999999999,0.5560000000000005,0.8760000000000001,0.8760000000000001
nq,llama3.1:8b,authority,0.16,0.4600000000000001,0.7360000000000001,0.7360000000000001
nq,llama3.1:8b,instruction_aware,0.164,0.4640000000000001,0.6880000000000002,0.6880000000000002
nq,llama3.1:8b,original,0.1999999999999999,0.5960000000000005,0.9519999999999998,0.9519999999999998
nq,llama3.1:8b,query_first_instruction_aware,0.184,0.5520000000000005,0.8959999999999999,0.8959999999999999
nq,mistral:7b,authority,0.16,0.4600000000000001,0.7360000000000001,0.7360000000000001
nq,mistral:7b,instruction_aware,0.164,0.4640000000000001,0.6880000000000002,0.6880000000000002
nq,mistral:7b,original,0.1999999999999999,0.5960000000000005,0.9519999999999998,0.9519999999999998
nq,mistral:7b,query_first_instruction_aware,0.184,0.5520000000000005,0.8959999999999999,0.8959999999999999
nq,qwen3.5:9b,authority,0.16,0.4600000000000001,0.7360000000000001,0.7360000000000001
nq,qwen3.5:9b,instruction_aware,0.164,0.4640000000000001,0.6880000000000002,0.6880000000000002
nq,qwen3.5:9b,original,0.1999999999999999,0.5960000000000005,0.9519999999999998,0.9519999999999998
nq,qwen3.5:9b,query_first_instruction_aware,0.184,0.5520000000000005,0.8959999999999999,0.8959999999999999
