dataset,model_label,variant,1.0,3.0,5.0,10.0
hotpotqa,llama3.1:8b,authority,0.34,0.38,0.06,0.06
hotpotqa,llama3.1:8b,instruction_aware,0.28,0.24,0.0,0.0
hotpotqa,llama3.1:8b,original,0.32,0.28,0.06,0.06
hotpotqa,llama3.1:8b,query_first_instruction_aware,0.3,0.26,0.08,0.06
hotpotqa,mistral:7b,authority,0.34,0.26,0.04,0.04
hotpotqa,mistral:7b,instruction_aware,0.3,0.18,0.0,0.0
hotpotqa,mistral:7b,original,0.32,0.2,0.0,0.0
hotpotqa,mistral:7b,query_first_instruction_aware,0.3,0.12,0.0,0.0
hotpotqa,qwen3.5:9b,authority,0.36,0.32,0.1,0.1
hotpotqa,qwen3.5:9b,instruction_aware,0.32,0.22,0.06,0.06
hotpotqa,qwen3.5:9b,original,0.38,0.28,0.08,0.1
hotpotqa,qwen3.5:9b,query_first_instruction_aware,0.34,0.24,0.06,0.08
msmarco,llama3.1:8b,authority,0.58,0.36,0.18,0.16
msmarco,llama3.1:8b,instruction_aware,0.42,0.28,0.24,0.24
msmarco,llama3.1:8b,original,0.48,0.24,0.08,0.08
msmarco,llama3.1:8b,query_first_instruction_aware,0.44,0.08,0.08,0.08
msmarco,mistral:7b,authority,0.5,0.26,0.12,0.12
msmarco,mistral:7b,instruction_aware,0.44,0.2,0.16,0.16
msmarco,mistral:7b,original,0.38,0.1,0.04,0.02
msmarco,mistral:7b,query_first_instruction_aware,0.32,0.1,0.04,0.04
msmarco,qwen3.5:9b,authority,0.52,0.42,0.2,0.18
msmarco,qwen3.5:9b,instruction_aware,0.5,0.28,0.26,0.24
msmarco,qwen3.5:9b,original,0.46,0.34,0.16,0.16
msmarco,qwen3.5:9b,query_first_instruction_aware,0.42,0.28,0.06,0.08
nq,llama3.1:8b,authority,0.5,0.3,0.2,0.2
nq,llama3.1:8b,instruction_aware,0.46,0.18,0.2,0.2
nq,llama3.1:8b,original,0.46,0.16,0.12,0.08
nq,llama3.1:8b,query_first_instruction_aware,0.42,0.12,0.08,0.1
nq,mistral:7b,authority,0.48,0.24,0.18,0.18
nq,mistral:7b,instruction_aware,0.32,0.14,0.18,0.18
nq,mistral:7b,original,0.4,0.08,0.04,0.04
nq,mistral:7b,query_first_instruction_aware,0.38,0.1,0.1,0.1
nq,qwen3.5:9b,authority,0.48,0.3,0.22,0.2
nq,qwen3.5:9b,instruction_aware,0.38,0.3,0.22,0.16
nq,qwen3.5:9b,original,0.38,0.24,0.12,0.12
nq,qwen3.5:9b,query_first_instruction_aware,0.42,0.26,0.12,0.12
