dataset,model_label,variant,1.0,3.0,5.0,10.0
hotpotqa,llama3.1:8b,authority,1.0,1.0,1.0,1.0
hotpotqa,llama3.1:8b,instruction_aware,1.0,1.0,1.0,1.0
hotpotqa,llama3.1:8b,original,1.0,1.0,1.0,1.0
hotpotqa,llama3.1:8b,query_first_instruction_aware,1.0,1.0,1.0,1.0
hotpotqa,mistral:7b,authority,1.0,1.0,1.0,1.0
hotpotqa,mistral:7b,instruction_aware,1.0,1.0,1.0,1.0
hotpotqa,mistral:7b,original,1.0,1.0,1.0,1.0
hotpotqa,mistral:7b,query_first_instruction_aware,1.0,1.0,1.0,1.0
hotpotqa,qwen3.5:9b,authority,1.0,1.0,1.0,1.0
hotpotqa,qwen3.5:9b,instruction_aware,1.0,1.0,1.0,1.0
hotpotqa,qwen3.5:9b,original,1.0,1.0,1.0,1.0
hotpotqa,qwen3.5:9b,query_first_instruction_aware,1.0,1.0,1.0,1.0
msmarco,llama3.1:8b,authority,0.76,0.82,0.86,0.86
msmarco,llama3.1:8b,instruction_aware,0.74,0.76,0.8,0.8
msmarco,llama3.1:8b,original,0.98,1.0,1.0,1.0
msmarco,llama3.1:8b,query_first_instruction_aware,0.96,1.0,1.0,1.0
msmarco,mistral:7b,authority,0.76,0.82,0.86,0.86
msmarco,mistral:7b,instruction_aware,0.74,0.76,0.8,0.8
msmarco,mistral:7b,original,0.98,1.0,1.0,1.0
msmarco,mistral:7b,query_first_instruction_aware,0.96,1.0,1.0,1.0
msmarco,qwen3.5:9b,authority,0.76,0.82,0.86,0.86
msmarco,qwen3.5:9b,instruction_aware,0.74,0.76,0.8,0.8
msmarco,qwen3.5:9b,original,0.98,1.0,1.0,1.0
msmarco,qwen3.5:9b,query_first_instruction_aware,0.96,1.0,1.0,1.0
nq,llama3.1:8b,authority,0.8,0.84,0.9,0.9
nq,llama3.1:8b,instruction_aware,0.82,0.86,0.88,0.88
nq,llama3.1:8b,original,1.0,1.0,1.0,1.0
nq,llama3.1:8b,query_first_instruction_aware,0.92,0.94,0.96,0.96
nq,mistral:7b,authority,0.8,0.84,0.9,0.9
nq,mistral:7b,instruction_aware,0.82,0.86,0.88,0.88
nq,mistral:7b,original,1.0,1.0,1.0,1.0
nq,mistral:7b,query_first_instruction_aware,0.92,0.94,0.96,0.96
nq,qwen3.5:9b,authority,0.8,0.84,0.9,0.9
nq,qwen3.5:9b,instruction_aware,0.82,0.86,0.88,0.88
nq,qwen3.5:9b,original,1.0,1.0,1.0,1.0
nq,qwen3.5:9b,query_first_instruction_aware,0.92,0.94,0.96,0.96
