dataset,model_label,variant,0.0001,0.0005,0.001,0.005
hotpotqa,llama3.1:8b,original,0.8,0.62,0.64,0.58
hotpotqa,llama3.1:8b,query_first_instruction_aware,0.28,0.24,0.26,0.26
hotpotqa,mistral:7b,original,0.98,1.0,1.0,0.98
hotpotqa,mistral:7b,query_first_instruction_aware,1.0,0.98,0.98,0.98
hotpotqa,qwen3.5:9b,original,0.82,0.7,0.7,0.72
hotpotqa,qwen3.5:9b,query_first_instruction_aware,0.22,0.18,0.16,0.16
msmarco,llama3.1:8b,original,0.06,0.04,0.04,0.04
msmarco,llama3.1:8b,query_first_instruction_aware,0.04,0.04,0.04,0.06
msmarco,mistral:7b,original,0.98,1.0,1.0,1.0
msmarco,mistral:7b,query_first_instruction_aware,1.0,1.0,1.0,1.0
msmarco,qwen3.5:9b,original,0.12,0.08,0.06,0.08
msmarco,qwen3.5:9b,query_first_instruction_aware,0.1,0.1,0.12,0.12
nq,llama3.1:8b,original,0.84,0.96,0.82,0.84
nq,llama3.1:8b,query_first_instruction_aware,0.12,0.16,0.08,0.08
nq,mistral:7b,original,0.92,0.98,0.96,0.96
nq,mistral:7b,query_first_instruction_aware,0.9,0.96,0.94,0.92
nq,qwen3.5:9b,original,0.76,0.82,0.8,0.84
nq,qwen3.5:9b,query_first_instruction_aware,0.08,0.12,0.16,0.14
