dataset,model_label,variant,0.0001,0.0005,0.001,0.005
hotpotqa,llama3.1:8b,original,0.996,1.0,1.0,1.0
hotpotqa,llama3.1:8b,query_first_instruction_aware,0.996,0.996,0.996,0.996
hotpotqa,mistral:7b,original,0.996,1.0,1.0,1.0
hotpotqa,mistral:7b,query_first_instruction_aware,0.996,0.996,0.996,0.996
hotpotqa,qwen3.5:9b,original,0.996,1.0,1.0,1.0
hotpotqa,qwen3.5:9b,query_first_instruction_aware,0.996,0.996,0.996,0.996
msmarco,llama3.1:8b,original,0.94,0.98,0.98,0.98
msmarco,llama3.1:8b,query_first_instruction_aware,0.9,0.9,0.9,0.9
msmarco,mistral:7b,original,0.9639999999999996,0.992,0.992,0.992
msmarco,mistral:7b,query_first_instruction_aware,0.908,0.9439999999999996,0.9439999999999996,0.9439999999999996
msmarco,qwen3.5:9b,original,0.94,0.98,0.98,0.98
msmarco,qwen3.5:9b,query_first_instruction_aware,0.9,0.9,0.9,0.9
nq,llama3.1:8b,original,0.5880000000000005,0.996,1.0,1.0
nq,llama3.1:8b,query_first_instruction_aware,0.4960000000000002,0.856,0.884,0.884
nq,mistral:7b,original,0.5960000000000005,0.996,1.0,1.0
nq,mistral:7b,query_first_instruction_aware,0.5520000000000005,0.924,0.948,0.948
nq,qwen3.5:9b,original,0.5880000000000005,0.996,1.0,1.0
nq,qwen3.5:9b,query_first_instruction_aware,0.4960000000000002,0.856,0.884,0.884
