dataset,model_label,variant,0.0001,0.0005,0.001,0.005
hotpotqa,llama3.1:8b,original,0.04,0.14,0.14,0.2
hotpotqa,llama3.1:8b,query_first_instruction_aware,0.3,0.3,0.26,0.34
hotpotqa,mistral:7b,original,0.0,0.02,0.02,0.02
hotpotqa,mistral:7b,query_first_instruction_aware,0.0,0.04,0.04,0.04
hotpotqa,qwen3.5:9b,original,0.04,0.04,0.02,0.02
hotpotqa,qwen3.5:9b,query_first_instruction_aware,0.22,0.16,0.16,0.16
msmarco,llama3.1:8b,original,0.74,0.74,0.72,0.76
msmarco,llama3.1:8b,query_first_instruction_aware,0.68,0.66,0.7,0.7
msmarco,mistral:7b,original,0.0,0.0,0.0,0.0
msmarco,mistral:7b,query_first_instruction_aware,0.02,0.0,0.0,0.0
msmarco,qwen3.5:9b,original,0.26,0.26,0.26,0.26
msmarco,qwen3.5:9b,query_first_instruction_aware,0.32,0.32,0.32,0.32
nq,llama3.1:8b,original,0.18,0.06,0.08,0.06
nq,llama3.1:8b,query_first_instruction_aware,0.42,0.2,0.28,0.28
nq,mistral:7b,original,0.02,0.02,0.0,0.0
nq,mistral:7b,query_first_instruction_aware,0.06,0.02,0.02,0.02
nq,qwen3.5:9b,original,0.06,0.04,0.06,0.06
nq,qwen3.5:9b,query_first_instruction_aware,0.36,0.18,0.1,0.14
