dataset,model_label,variant,0.0001,0.0005,0.001,0.005
hotpotqa,llama3.1:8b,original,1.0,1.0,1.0,1.0
hotpotqa,llama3.1:8b,query_first_instruction_aware,1.0,1.0,1.0,1.0
hotpotqa,mistral:7b,original,1.0,1.0,1.0,1.0
hotpotqa,mistral:7b,query_first_instruction_aware,1.0,1.0,1.0,1.0
hotpotqa,qwen3.5:9b,original,1.0,1.0,1.0,1.0
hotpotqa,qwen3.5:9b,query_first_instruction_aware,1.0,1.0,1.0,1.0
msmarco,llama3.1:8b,original,1.0,1.0,1.0,1.0
msmarco,llama3.1:8b,query_first_instruction_aware,0.96,0.96,0.96,0.96
msmarco,mistral:7b,original,1.0,1.0,1.0,1.0
msmarco,mistral:7b,query_first_instruction_aware,1.0,1.0,1.0,1.0
msmarco,qwen3.5:9b,original,1.0,1.0,1.0,1.0
msmarco,qwen3.5:9b,query_first_instruction_aware,0.96,0.96,0.96,0.96
nq,llama3.1:8b,original,1.0,1.0,1.0,1.0
nq,llama3.1:8b,query_first_instruction_aware,0.86,0.9,0.9,0.9
nq,mistral:7b,original,1.0,1.0,1.0,1.0
nq,mistral:7b,query_first_instruction_aware,0.94,0.96,0.96,0.96
nq,qwen3.5:9b,original,1.0,1.0,1.0,1.0
nq,qwen3.5:9b,query_first_instruction_aware,0.86,0.9,0.9,0.9
