stage,dataset,model_code,model_label,status,returncode,output_dir,summary_path,started_at,finished_at
candidate_pool,nq,qwen35,qwen3.5:9b,skipped_complete,0,C:\Users\isclin\Desktop\Summer Project\03_low_rate_experiments\local_ollama_experiment_runs\local_ollama_qwen35_queryfirst_nq50_2026-07-07,C:\Users\isclin\Desktop\Summer Project\03_low_rate_experiments\local_ollama_experiment_runs\local_ollama_qwen35_queryfirst_nq50_2026-07-07\summary.csv,2026-07-07T22:58:17,2026-07-07T22:58:17
candidate_pool,nq,llama31_8b,llama3.1:8b,complete,0,C:\Users\isclin\Desktop\Summer Project\03_low_rate_experiments\local_ollama_experiment_runs\local_ollama_llama31_8b_queryfirst_nq50_2026-07-07,C:\Users\isclin\Desktop\Summer Project\03_low_rate_experiments\local_ollama_experiment_runs\local_ollama_llama31_8b_queryfirst_nq50_2026-07-07\summary.csv,2026-07-07T22:58:17,2026-07-07T23:07:15
candidate_pool,nq,mistral_7b,mistral:7b,complete,0,C:\Users\isclin\Desktop\Summer Project\03_low_rate_experiments\local_ollama_experiment_runs\local_ollama_mistral_7b_queryfirst_nq50_2026-07-07,C:\Users\isclin\Desktop\Summer Project\03_low_rate_experiments\local_ollama_experiment_runs\local_ollama_mistral_7b_queryfirst_nq50_2026-07-07\summary.csv,2026-07-07T23:07:15,2026-07-07T23:14:26
candidate_pool,hotpotqa,qwen35,qwen3.5:9b,complete,0,C:\Users\isclin\Desktop\Summer Project\03_low_rate_experiments\local_ollama_experiment_runs\local_ollama_qwen35_queryfirst_hotpotqa50_fullmatrix_2026-07-07,C:\Users\isclin\Desktop\Summer Project\03_low_rate_experiments\local_ollama_experiment_runs\local_ollama_qwen35_queryfirst_hotpotqa50_fullmatrix_2026-07-07\summary.csv,2026-07-07T23:14:26,2026-07-07T23:38:57
candidate_pool,hotpotqa,llama31_8b,llama3.1:8b,complete,0,C:\Users\isclin\Desktop\Summer Project\03_low_rate_experiments\local_ollama_experiment_runs\local_ollama_llama31_8b_queryfirst_hotpotqa50_fullmatrix_2026-07-07,C:\Users\isclin\Desktop\Summer Project\03_low_rate_experiments\local_ollama_experiment_runs\local_ollama_llama31_8b_queryfirst_hotpotqa50_fullmatrix_2026-07-07\summary.csv,2026-07-07T23:38:57,2026-07-07T23:48:36
candidate_pool,hotpotqa,mistral_7b,mistral:7b,complete,0,C:\Users\isclin\Desktop\Summer Project\03_low_rate_experiments\local_ollama_experiment_runs\local_ollama_mistral_7b_queryfirst_hotpotqa50_fullmatrix_2026-07-07,C:\Users\isclin\Desktop\Summer Project\03_low_rate_experiments\local_ollama_experiment_runs\local_ollama_mistral_7b_queryfirst_hotpotqa50_fullmatrix_2026-07-07\summary.csv,2026-07-07T23:48:36,2026-07-07T23:56:18
candidate_pool,msmarco,qwen35,qwen3.5:9b,complete,0,C:\Users\isclin\Desktop\Summer Project\03_low_rate_experiments\local_ollama_experiment_runs\local_ollama_qwen35_queryfirst_msmarco50_fullmatrix_2026-07-07,C:\Users\isclin\Desktop\Summer Project\03_low_rate_experiments\local_ollama_experiment_runs\local_ollama_qwen35_queryfirst_msmarco50_fullmatrix_2026-07-07\summary.csv,2026-07-07T23:56:18,2026-07-08T00:23:38
candidate_pool,msmarco,llama31_8b,llama3.1:8b,complete,0,C:\Users\isclin\Desktop\Summer Project\03_low_rate_experiments\local_ollama_experiment_runs\local_ollama_llama31_8b_queryfirst_msmarco50_fullmatrix_2026-07-07,C:\Users\isclin\Desktop\Summer Project\03_low_rate_experiments\local_ollama_experiment_runs\local_ollama_llama31_8b_queryfirst_msmarco50_fullmatrix_2026-07-07\summary.csv,2026-07-08T00:23:38,2026-07-08T00:32:13
candidate_pool,msmarco,mistral_7b,mistral:7b,complete,0,C:\Users\isclin\Desktop\Summer Project\03_low_rate_experiments\local_ollama_experiment_runs\local_ollama_mistral_7b_queryfirst_msmarco50_fullmatrix_2026-07-07,C:\Users\isclin\Desktop\Summer Project\03_low_rate_experiments\local_ollama_experiment_runs\local_ollama_mistral_7b_queryfirst_msmarco50_fullmatrix_2026-07-07\summary.csv,2026-07-08T00:32:13,2026-07-08T00:38:47
paper_style,nq,qwen35,qwen3.5:9b,skipped_existing_qwen35,0,C:\Users\isclin\Desktop\Summer Project\02_reproduction_code_data\PoisonedRAG_runnable_workspace\results\query_results\paper_style_qwen35_2026-07-07,C:\Users\isclin\Desktop\Summer Project\02_reproduction_code_data\baseline_reproduction_outputs\paper_style_qwen35_2026-07-07\logs\nq-contriever-ollama_qwen3.5-top5-adv5-M10x10.log,2026-07-08T00:38:47,2026-07-08T00:38:47
